min_price,max_price,cats,dogs,pet_policy_text,min_beds,max_beds,min_baths,max_baths,house_type,year_built,address,postal_code,state,city,pictures,pictures1,lat,lon,county,db
3200.0,4145.0,True,True,Please call Leasing Office for complete pet policy.,3,4,2.5,3.5,single_family,2022.0,3000 Chisholm Trail Rd,78681,TX,Round Rock,https://ar.rdcpix.com/1b7ec43e50c461b3d57e4f4733627d98c-f589132586s.jpg,https://ar.rdcpix.com/1b7ec43e50c461b3d57e4f4733627d98c-f1068785717s.jpg,30.542113,-97.696934,Williamson,25 - 3000 Chisholm Trail Rd
1275.0,2020.0,True,True,,1,3,1.0,2.0,apartment,2000.0,12900 Loop 1604 # 1604N,78148,TX,Universal City,https://ar.rdcpix.com/7a1a8f29f1a64e7b85c1e5bdd0d4fb76c-f1125383034s.jpg,https://ar.rdcpix.com/7a1a8f29f1a64e7b85c1e5bdd0d4fb76c-f1026443012s.jpg,29.556763,-98.322633,Bexar,26 - 12900 Loop 1604 # 1604N
2158.0,12618.0,True,True,,0,3,1.0,3.0,apartment,2021.0,3330 Oak Grove Ave,75204,TX,Dallas,https://ar.rdcpix.com/b26b61174c4bbe9f4856306c1174e877c-f892280066s.jpg,https://ar.rdcpix.com/b26b61174c4bbe9f4856306c1174e877c-f3369542220s.jpg,32.803942,-96.797509,Dallas,27 - 3330 Oak Grove Ave
1323.0,1626.0,True,True,,1,2,1.0,2.0,apartment,1998.0,4300 Horizon North Pkwy,75287,TX,Dallas,https://ar.rdcpix.com/5f4c9743d3e64dbeb2e39d9169073013c-f51543483s.jpg,https://ar.rdcpix.com/5f4c9743d3e64dbeb2e39d9169073013c-f3821172580s.jpg,33.013818,-96.834977,Collin,28 - 4300 Horizon North Pkwy
1289.0,3249.0,True,True,,0,3,1.0,2.0,apartment,2018.0,5810 Worth Pkwy,78257,TX,San Antonio,https://ar.rdcpix.com/89e22497ccb1b04839425a4131060c8bc-f2035955184s.jpg,https://ar.rdcpix.com/89e22497ccb1b04839425a4131060c8bc-f2659429091s.jpg,29.61261,-98.59854,Bexar,29 - 5810 Worth Pkwy
1895.0,3995.0,True,True,,1,4,1.0,3.0,townhomes,2001.0,5900 Baywater Dr,75093,TX,Plano,https://ar.rdcpix.com/b18458bed7e8c9a47795bb0c071a5a90c-f18600010s.jpg,https://ar.rdcpix.com/b18458bed7e8c9a47795bb0c071a5a90c-f2597747886s.jpg,33.054489,-96.798933,Collin,30 - 5900 Baywater Dr
1592.0,2892.0,True,True,,1,2,1.0,2.0,apartment,2022.0,2825 Sophie Ln,78130,TX,New Braunfels,https://ar.rdcpix.com/db2d3a51632d7f2c3df41d4b7ae6abc8c-f477328523s.jpg,https://ar.rdcpix.com/db2d3a51632d7f2c3df41d4b7ae6abc8c-f1070026059s.jpg,,,Comal,31 - 2825 Sophie Ln
1161.0,1587.0,True,True,,1,2,1.0,2.0,apartment,1983.0,1604 Ridge Haven Dr,76011,TX,Arlington,https://ar.rdcpix.com/aa45a65fd9129c4f742e54fc2ee7a0a8c-f2954398605s.jpg,https://ar.rdcpix.com/aa45a65fd9129c4f742e54fc2ee7a0a8c-f238579399s.jpg,32.762195,-97.087006,Tarrant,32 - 1604 Ridge Haven Dr
1700.0,2904.0,True,True,"Restrictions: Dogs considered to have aggressive tendencies: German Shepherd, Anatolian Shepherd, American Pit Bull Terrier, American Bull Dog, Staffordshire Bull Terrier, American Staffordshire Terrier, Rottweiler, Bullmastiff, Akita, Chow Chow, Wol",1,3,1.0,2.0,apartment,2019.0,460 Bastrop Hwy S,78741,TX,Austin,https://ar.rdcpix.com/e417e58e6f01041377e7d83233e8ad92c-f3299105343s.jpg,https://ar.rdcpix.com/e417e58e6f01041377e7d83233e8ad92c-f2036613975s.jpg,30.237784,-97.688576,Travis,33 - 460 Bastrop Hwy S
1310.0,3300.0,True,True,$87.50 sure deposit option/$87.50 sure deposit option.,0,3,1.0,3.0,apartment,2018.0,6107 Via La Cantera,78256,TX,San Antonio,https://ar.rdcpix.com/183739c6a60c0d0e60bbcca7a48f8702c-f2846376574s.jpg,https://ar.rdcpix.com/183739c6a60c0d0e60bbcca7a48f8702c-f645631747s.jpg,29.59211,-98.60769,Bexar,34 - 6107 Via La Cantera
885.0,1400.0,True,True,,1,3,1.0,2.0,apartment,1973.0,1909 Sybil Ln,75703,TX,Tyler,https://ar.rdcpix.com/00641c8b0a944733f23fe974d8708136c-f14478725s.jpg,https://ar.rdcpix.com/00641c8b0a944733f23fe974d8708136c-f3993843388s.jpg,32.304158,-95.277453,Smith,35 - 1909 Sybil Ln
1418.0,2529.0,True,True,,1,3,1.0,2.0,apartment,1999.0,3400 Craig Dr,75070,TX,McKinney,https://ar.rdcpix.com/37c08732e7ca38d5e3e9bdadf6bf2153c-f1499293878s.jpg,https://ar.rdcpix.com/37c08732e7ca38d5e3e9bdadf6bf2153c-f4106117718s.jpg,33.165891,-96.646372,Collin,36 - 3400 Craig Dr
1330.0,2512.0,True,True,,1,3,1.0,2.0,apartment,2001.0,4490 W Eldorado Pkwy,75070,TX,McKinney,https://ar.rdcpix.com/5fbcfdfa59c8e06b19c500909e4a0f2dc-f2602736608s.jpg,https://ar.rdcpix.com/5fbcfdfa59c8e06b19c500909e4a0f2dc-f3435615836s.jpg,33.17228,-96.67377,Collin,37 - 4490 W Eldorado Pkwy
1463.0,2316.0,True,True,,1,2,1.0,2.0,apartment,2021.0,8601 Cook Ranch Rd,76126,TX,Benbrook,https://ar.rdcpix.com/fe988f020d9f1bd2fb90488191593ff6c-f3717705199s.jpg,https://ar.rdcpix.com/fe988f020d9f1bd2fb90488191593ff6c-f2909246685s.jpg,32.692649,-97.462154,Tarrant,38 - 8601 Cook Ranch Rd
